"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_D5.0mm_FlatTop";1;"LED";;;
2;"D2,D5,D6";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"LED";;;
3;"R1,R2,R3,R4";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";4;"100";;;
4;"R6";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"10k";;;
5;"SW1";"SW_PUSH_6mm_H5mm";1;"SW_PUSH";;;
6;"SW2";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile";1;"SPST";;;
7;"D3,D4";"LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear";2;"LED";;;
8;"D7";"LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear";1;"LED";;;
9;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"CONN_01X03_MALE";;;
10;"H2,H1";"MountingHole_3.2mm_M3";2;"MountingHole";;;
11;"U1";"DIP-8_W7.62mm";1;"ATtiny85-20P";;;
12;"BT1,BT2";"BatteryHolder_Keystone_1058_1x2032";2;"Battery_Cell";;;
