Designator,Mid X,Mid Y,Rotation,Layer
BT1,142.7,-71.12,90.0,bottom
BT2,143.0,-120.28,270.0,bottom
D1,88.9,-96.266,90.0,top
D2,82.804,-96.012,90.0,top
D3,149.606,-162.306,0.0,top
D4,148.59,-28.702,180.0,top
D5,141.478,-164.084,180.0,top
D6,140.716,-27.178,180.0,top
D7,171.5,-95.25,90.0,top
J1,98.86,-95.9,270.0,top
R1,130.4625,-96.0,180.0,top
R2,109.4625,-96.0,180.0,top
R3,151.0,-156.0375,270.0,top
R4,147.5,-34.0375,90.0,top
R6,157.0,-90.0,90.0,top
SW1,163.75,-95.05,0.0,top
SW2,138.3,-95.69,90.0,top
U1,148.89,-94.99,270.0,top
